,img,true answer,computer answer,camera answer,computer score,camera score
0,negative/img-03_18--17_38_59-EB9B--001.jpg,0,0,0,0,1
1,negative/img-03_18--17_39_03-EB9B--022.jpg,0,0,0,0,22
2,negative/img-03_18--17_39_04-EB9B--138.jpg,0,0,1,0,138
3,negative/img-03_18--17_39_05-EB9B--020.jpg,0,0,0,0,20
4,negative/img-03_18--17_39_06-EB9B--039.jpg,0,0,0,0,39
5,negative/img-03_18--17_39_07-EB9B--002.jpg,0,0,0,0,2
6,negative/img-03_18--17_39_08-EB9B--003.jpg,0,0,0,0,3
7,negative/img-03_18--17_39_09-EB9B--186.jpg,0,0,1,0,186
8,negative/img-03_18--17_39_26-EB9B--205.jpg,0,0,1,0,205
9,negative/img-03_18--17_39_56-EB9B--241.jpg,0,0,1,0,241
10,negative/img-03_18--17_40_04-EB9B--001.jpg,0,0,0,0,1
11,negative/img-03_18--17_40_12-EB9B--005.jpg,0,0,0,0,5
12,negative/img-03_18--17_40_19-EB9B--000.jpg,0,0,0,0,0
13,negative/img-03_18--17_40_27-EB9B--004.jpg,0,0,0,0,4
14,negative/img-03_18--17_40_34-EB9B--001.jpg,0,0,0,0,1
15,negative/img-03_18--17_40_43-EB9B--001.jpg,0,0,0,0,1
16,negative/img-03_18--17_40_50-EB9B--004.jpg,0,0,0,0,4
17,negative/img-03_18--17_41_00-EB9B--007.jpg,0,0,0,0,7
18,negative/img-03_18--17_41_10-EB9B--001.jpg,0,0,0,0,1
19,negative/img-03_18--17_41_21-EB9B--002.jpg,0,0,0,0,2
20,negative/img-03_18--17_41_30-EB9B--003.jpg,0,0,0,0,3
21,negative/img-03_18--17_42_02-EB9B--054.jpg,0,0,0,0,54
22,negative/img-03_18--17_42_30-EB9B--009.jpg,0,0,0,0,9
23,negative/img-03_18--17_42_40-EB9B--182.jpg,0,0,1,0,182
24,negative/img-03_18--17_43_12-EB9B--000.jpg,0,0,0,0,0
25,negative/img-03_18--17_43_20-EB9B--011.jpg,0,0,0,0,11
26,negative/img-03_18--17_43_29-EB9B--001.jpg,0,0,0,0,1
27,negative/img-03_18--17_43_40-EB9B--000.jpg,0,0,0,0,0
28,negative/img-03_18--17_43_50-EB9B--002.jpg,0,0,0,0,2
29,negative/img-03_18--17_44_00-EB9B--016.jpg,0,0,0,0,16
30,negative/img-03_18--17_44_10-EB9B--002.jpg,0,0,0,0,2
31,negative/img-03_18--17_44_39-EB9B--118.jpg,0,0,0,0,118
32,negative/img-03_18--17_45_10-EB9B--254.jpg,0,0,1,0,254
33,negative/img-03_18--17_45_40-EB9B--001.jpg,0,0,0,0,1
34,negative/img-03_18--17_45_50-EB9B--001.jpg,0,0,0,0,1
35,negative/img-03_18--17_45_59-EB9B--000.jpg,0,0,0,0,0
36,negative/img-03_18--17_46_10-EB9B--011.jpg,0,0,0,0,11
37,negative/img-03_18--17_46_20-EB9B--005.jpg,0,0,0,0,5
38,negative/img-03_18--17_46_30-EB9B--002.jpg,0,0,0,0,2
39,negative/img-03_18--17_46_39-EB9B--001.jpg,0,0,0,0,1
40,negative/img-03_18--17_46_50-EB9B--004.jpg,0,0,0,0,4
41,negative/img-03_18--17_46_59-EB9B--002.jpg,0,0,0,0,2
42,negative/img-03_18--17_47_09-EB9B--002.jpg,0,0,0,0,2
43,negative/img-03_18--17_47_40-EB9B--255.jpg,0,0,1,0,255
44,negative/img-03_18--17_47_50-EB9B--012.jpg,0,0,0,0,12
45,negative/img-03_18--17_48_00-EB9B--002.jpg,0,0,0,0,2
46,negative/img-03_18--17_48_10-EB9B--010.jpg,0,0,0,0,10
47,negative/img-03_18--17_48_20-EB9B--001.jpg,0,0,0,0,1
48,negative/img-03_18--17_48_29-EB9B--003.jpg,0,0,0,0,3
49,negative/img-03_18--17_48_46-EB9B--222.jpg,0,0,1,0,222
50,negative/img-03_18--17_49_50-EB9B--000.jpg,0,0,0,0,0
51,negative/img-03_18--17_50_01-EB9B--007.jpg,0,0,0,0,7
52,negative/img-03_18--17_50_09-EB9B--004.jpg,0,0,0,0,4
53,negative/img-03_18--17_50_20-EB9B--003.jpg,0,0,0,0,3
54,negative/img-03_18--17_50_29-EB9B--001.jpg,0,0,0,0,1
55,negative/img-03_18--17_50_39-EB9B--000.jpg,0,0,0,0,0
56,negative/img-03_18--17_51_11-EB9B--005.jpg,0,0,0,0,5
57,negative/img-03_18--17_52_19-EB9B--202.jpg,0,0,1,0,202
